track,country,time,race_name,race_class,handicap_rating,age_class,distance_mls,distance,going,prize,total_runners,winning_time,winning_timevar,total_sp,position,row_index,draw,horse_name,horse_country,price_decimal,price_fraction,price_symbol,horse_age,birth_year,horse_weight,dist_upper,dist_beaten,racecard_number,horse_or,horse_ts,horse_rpr,horse_jockey,horse_trainer,color,sex,sire,dam,damsire,price_var,headgear,wind_12
,,,,,,,,,,,,297.30,-3.42,,,,,Boher Lad,,,,,,,,,15.7500,,105.0,63.0,70.0,Daniel Sansom,David Simcock,,,Dawn Approach (IRE),Beach Belle,Califet,op 14/1 tchd 18/1,,
,,,,,,,,,,,,298.25,-3.39,,,,,Boojoom,,,,,,,,,16.0000,,106.0,64.0,71.0,Daniel Tudhope,David Thompson,,,Declaration Of War (USA),Bean Ki Moon (IRE),Camacho,op 14/1 tchd 22/1,,
,,,,,,,,,,,,303.69,-3.29,,,,,Bosca Cheoil,,,,,,,,,16.2500,,107.0,65.0,72.0,Danny McMenamin,David Weston,,,Denham Red (FR),Beauty Is Truth (IRE),Candy Ride,op 14/1 tchd 25/1,,
,,,,,,,,,,,,308.00,-3.26,,,,,Bossipop,,,,,,,,,16.5000,,108.0,66.0,73.0,Darragh O'Keeffe,Dean Ivory,,,Doctor Dino (FR),Bedouin Bride (USA),Cape Cross,op 14/1 tchd 28/1,,
,,,,,,,,,,,,319.20,-2.39,,,,,Bounty Pursuit,,,,,,,,,16.7500,,109.0,67.0,74.0,Daryl Jacob,Debra Hamer,,,Double Eclipse (IRE),Begin The Beguine (IRE),Captain Rio,op 15/2,,
,,,,,,,,,,,,324.10,-1.91,,,,,Brain Power,,,,,,,,,17.0000,,110.0,68.0,75.0,Dave Crosse,Declan Carroll,,,Doyen (IRE),Beldale Memory (IRE),Catcher In The Rye,op 15/2 tchd 13/2,,
,,,,,,,,,,,,330.30,-1.88,,,,,Breaking News,,,,,,,,,17.2500,,111.0,69.0,76.0,David Bass,Denis Coakley,,,Dr Massini (IRE),Belle Blonde (IRE),Cayman Kai,op 15/2 tchd 6/1,,
,,,,,,,,,,,,357.29,-1.74,,,,,Brehon Star,,,,,,,,,17.5000,,112.0,70.0,77.0,David Egan,Derek Frankland,,,Dragon Pulse (IRE),Benefit Ball (IRE),Cee's Tizzy,op 15/2 tchd 7/1,,
,,,,,,,,,,,,360.70,0.83,,,,,Brian Boranha,,,,,,,,,17.7500,,113.0,71.0,78.0,David Noonan,Derek Shaw,,,Dream Ahead (USA),Best Moving (GER),Champs Elysees,op 15/2 tchd 7/1 and tchd 11/1,,
,,,,,,,,,,,,366.12,0.96,,,,,Bridgets Cross,,,,,,,,,18.0000,,114.0,72.0,79.0,David Probert,Dermot Murphy,,,Dream Eater (IRE),Best Tune,Chester House,op 15/2 tchd 7/1 and tchd 9/1,,
,,,,,,,,,,,,367.00,3.08,,,,,Brightburn,,,,,,,,,18.2500,,115.0,73.0,80.0,Declan McDonogh,Dianne Sayer,,,Dubai Destination (USA),Betray,Chocolat De Meguro,op 15/2 tchd 9/1,,
,,,,,,,,,,,,368.10,,,,,,Brilliant Question,,,,,,,,,18.5000,,116.0,74.0,81.0,Denis O'Regan,Dominic Ffrench Davis,,,Dubawi (IRE),Bid To Win (IRE),Choisir,op 150/1,,
,,,,,,,,,,,,398.67,,,,,,Brosna Empress,,,,,,,,,18.7500,,117.0,75.0,82.0,Derek Fox,Donal Coffey,,,Due Diligence (USA),Big Sylv (IRE),Classic Cliche,op 150/1 tchd 250/1,,
,,,,,,,,,,,,449.60,,,,,,Brother Scott,,,,,,,,,19.0000,,118.0,76.0,83.0,Donagh Meyler,Donald McCain,,,Dutch Art,Bikini,Clodovil,op 150/1 tchd 300/1,,
,,,,,,,,,,,,,,,,,,Brotherly Company,,,,,,,,,19.2500,,119.0,77.0,84.0,Donal McInerney,Donnacha Aidan O'Brien,,,Dylan Thomas (IRE),Blazing Belle (IRE),College Chapel,op 16/1,,
,,,,,,,,,,,,,,,,,,Budanova,,,,,,,,,19.5000,,120.0,78.0,85.0,Dougie Costello,Dr Richard Newland,,,Electric Beat,Blhadawa (IRE),Common Grounds,op 16/1 and tchd 20/1,,
,,,,,,,,,,,,,,,,,,Bullock Park,,,,,,,,,19.7500,,121.0,79.0,86.0,Duran Fentiman,E J O'Grady,,,Elusive Pimpernel (USA),Blond Beauty (USA),Compton Place,op 16/1 tchd 11/1,,
,,,,,,,,,,,,,,,,,,Burano Boy,,,,,,,,,20.0000,,122.0,80.0,87.0,Dylan Browne McMonagle,E McNamara,,,Elzaam (AUS),Blonde Ambition (IRE),Consolidator,op 16/1 tchd 14/1,,
,,,,,,,,,,,,,,,,,,Burj Malinka,,,,,,,,,20.2500,,123.0,81.0,88.0,Dylan Hogan,E Sheehy,,,Epaulette (AUS),Blue Ciel,Craigsteel,op 16/1 tchd 14/1 and tchd 20/1,,
,,,,,,,,,,,,,,,,,,Buttons And Bows,,,,,,,,,20.5000,,124.0,82.0,89.0,Dylan Robinson,Ed Dunlop,,,Equiano (FR),Blue Gallery (IRE),Daaher,op 16/1 tchd 22/1,,
,,,,,,,,,,,,,,,,,,Buzz,,,,,,,,,20.7500,,125.0,83.0,90.0,Edward Greatrex,Ed Walker,,,Es Que Love (IRE),Blue Maiden,Dalakhani,op 16/1 tchd 25/1,,
,,,,,,,,,,,,,,,,,,Cabin Hill,,,,,,,,,21.0000,,126.0,84.0,91.0,Edward Rees,Edward P Harty,,,Estidhkaar (IRE),Blue Paraiba (IRE),Dancing Brave,op 16/1 tchd 28/1,,
,,,,,,,,,,,,,,,,,,Camdeboo,,,,,,,,,21.2500,,127.0,85.0,92.0,Ellie MacKenzie,Ella Pickard,,,Evasive,Bluebell Park (USA),Dancing Dissident,op 16/5,,
,,,,,,,,,,,,,,,,,,Can't Stop Now,,,,,,,,,21.5000,,128.0,86.0,93.0,Emma Doyle,Emma Lavelle,,,Exceed And Excel (AUS),Bobailin (IRE),Danehill,op 17/2,,
,,,,,,,,,,,,,,,,,,Capla Lass,,,,,,,,,21.7500,,129.0,87.0,94.0,Emmet McNamara,Emmet Mullins,,,Excelebration (IRE),Bonnet's Pieces,Danehill Dancer,op 17/2 and tchd 10/1,,
,,,,,,,,,,,,,,,,,,Capone,,,,,,,,,22.0000,,130.0,88.0,95.0,Eoin G Kelly,Eugene M O'Sullivan,,,Fair Mix (IRE),Bora Blues,Danetime,op 17/2 tchd 10/1,,
,,,,,,,,,,,,,,,,,,Captains Run,,,,,,,,,22.2500,,132.0,89.0,96.0,Eoin Walsh,Evan Williams,,,Fame And Glory,Boucheron,Dansili,op 17/2 tchd 11/1,,
,,,,,,,,,,,,,,,,,,Caro Des Flos,,,,,,,,,22.5000,,134.0,90.0,97.0,Faye McManoman,Fergal O'Brien,,,Famous Name,Bring Back Matron (IRE),Danzig,op 17/2 tchd 15/2,,
,,,,,,,,,,,,,,,,,,Case Key,,,,,,,,,22.7500,,135.0,91.0,98.0,Fergus Gillard,G M Lyons,,,Fast Company (IRE),Brogarais (IRE),Dark Angel,op 17/2 tchd 7/1,,
,,,,,,,,,,,,,,,,,,Casimir Du Clos,,,,,,,,,23.0000,,136.0,92.0,99.0,Fergus Gregory,Garvan Donnelly,,,Fastnet Rock (AUS),Broken Pockets (IRE),Darshaan,op 17/2 tchd 7/1 and tchd 9/1,,
,,,,,,,,,,,,,,,,,,Celestial Object,,,,,,,,,23.2500,,137.0,93.0,100.0,Finley Marsh,Gary Moore,,,Finjaan,Brook Style (IRE),Daylami,op 17/2 tchd 8/1,,
,,,,,,,,,,,,,,,,,,Cerro Bayo,,,,,,,,,23.5000,,138.0,94.0,101.0,Franny Norton,Gavin Cromwell,,,Finsceal Fior (IRE),Brosnan (IRE),Deep Impact,op 17/2 tchd 9/1,,
,,,,,,,,,,,,,,,,,,Cesar Du Gouet,,,,,,,,,23.7500,,139.0,95.0,102.0,G B Noonan,Gay Kelleway,,,Flemensfirth (USA),Brownie Points (IRE),Definite Article,op 18/1,,
,,,,,,,,,,,,,,,,,,Champs De Reves,,,,,,,,,24.0000,,140.0,96.0,103.0,Gary Carroll,Gearoid O'Loughlin,,,Footstepsinthesand,Buck's Blue (FR),Deploy,op 18/1 tchd 14/1,,
,,,,,,,,,,,,,,,,,,Chanceanotherfive,,,,,,,,,24.2500,,141.0,97.0,104.0,Gary Halpin,George Baker,,,Fountain Of Youth (IRE),Bugie D'Amore,Desert King,op 18/1 tchd 20/1,,
,,,,,,,,,,,,,,,,,,Charles Le Brun,,,,,,,,,24.5000,,142.0,98.0,105.0,Gavin Ashton,George Bewley,,,Foxwedge (AUS),Cambara,Desert Prince,op 18/1 tchd 22/1,,
,,,,,,,,,,,,,,,,,,Charlie Fellowes,,,,,,,,,24.7500,,143.0,99.0,106.0,Gavin Brouder,George Boughey,,,Fracas (IRE),Cannot Give (USA),Desert Style,op 18/1 tchd 28/1,,
,,,,,,,,,,,,,,,,,,Charlottes Way,,,,,,,,,25.0000,,144.0,100.0,107.0,Gavin Ryan,George Scott,,,Fragrant Mix (IRE),Canukeepasecret,Diamond Green,op 18/1 tchd 33/1,,
,,,,,,,,,,,,,,,,,,Chelsea Flyer,,,,,,,,,25.2500,,145.0,101.0,108.0,George Downing,Georgie Howell,,,Frankel,Cape Dollar (IRE),Diktat,op 18/1 tchd 40/1,,
,,,,,,,,,,,,,,,,,,Cheng Gong,,,,,,,,,25.5000,,146.0,103.0,109.0,George Rooke,Gerard Keane,,,Franklins Gardens,Capulet Monteque (IRE),Dilshaan,op 2/1,,
,,,,,,,,,,,,,,,,,,Cherry Cola,,,,,,,,,25.7500,,150.0,104.0,110.0,George Wood,Gerard O'Leary,,,Free Eagle (IRE),Carioca (IRE),Dilum,op 2/1 tchd 5/2,,
,,,,,,,,,,,,,,,,,,Chilko Lake,,,,,,,,,26.0000,,151.0,105.0,111.0,Gina Mangan,Gillian Scott,,,Fruits Of Love (USA),Carmencita,Distorted Humor,op 20/1,,
,,,,,,,,,,,,,,,,,,Chimeric,,,,,,,,,26.2500,,152.0,109.0,112.0,Graham Carson,Gordon Elliott,,,Fulbright,Carsulae (IRE),Dom Alco,op 20/1 tchd 18/1,,
,,,,,,,,,,,,,,,,,,Chinese Whisperer,,,,,,,,,26.5000,,154.0,111.0,114.0,Graham Lee,Grace Harris,,,Galileo (IRE),Cartoon,Dowsing,op 20/1 tchd 18/1 and tchd 25/1,,
,,,,,,,,,,,,,,,,,,Christmas Night,,,,,,,,,26.7500,,158.0,112.0,115.0,Hannah Fraser,Graeme McPherson,,,Garswood,Casablanca Jewel (IRE),Dr Fong,op 20/1 tchd 22/1,,
,,,,,,,,,,,,,,,,,,Chummie,,,,,,,,,27.0000,,160.0,113.0,116.0,Harrison Shaw,Harriet Graham,,,Gentlewave (IRE),Cascata (IRE),Dubai Destination,op 20/1 tchd 33/1,,
,,,,,,,,,,,,,,,,,,Cisco Disco,,,,,,,,,27.2500,,162.0,114.0,117.0,Harry Bannister,Harry Fry,,,Geordieland (FR),Cashel Mead,Dubawi,op 200/1 tchd 300/1,,
,,,,,,,,,,,,,,,,,,Clondaw Fixer,,,,,,,,,27.5000,,,116.0,118.0,Harry Bentley,Harry Whittington,,,Germany (USA),Cassandane (IRE),Dutch Art,op 22/1,,
,,,,,,,,,,,,,,,,,,Coastal Mist,,,,,,,,,27.7500,,,117.0,119.0,Harry Cobden,Heather Main,,,Getaway (GER),Cat Hunter,Efisio,op 22/1 tchd 20/1,,
,,,,,,,,,,,,,,,,,,Cobra Commander,,,,,,,,,28.5000,,,118.0,120.0,Harry Reed,Henry Daly,,,Gleneagles (IRE),Catch Ball,Ekraar,op 22/1 tchd 28/1,,
,,,,,,,,,,,,,,,,,,Cockalorum,,,,,,,,,29.0000,,,119.0,121.0,Harry Skelton,Henry De Bromhead,,,Golan (IRE),Cayman Fox,El Prado,op 22/1 tchd 33/1,,
,,,,,,,,,,,,,,,,,,Codebook,,,,,,,,,29.2500,,,124.0,122.0,Hayley Turner,Hughie Morrison,,,Gold Well,Ceaseless (IRE),Elusive Quality,op 22/1 tchd 40/1,,
,,,,,,,,,,,,,,,,,,Colfer Kay,,,,,,,,,29.5000,,,129.0,123.0,Hector Crouch,Hugo Palmer,,,Golden Horn,Celtic House (IRE),Entrepreneur,op 25/1,,
,,,,,,,,,,,,,,,,,,Combine,,,,,,,,,29.7500,,,131.0,124.0,Henry Brooke,Iain Jardine,,,Great Palm (USA),Chalnetta (FR),Epervier Bleu,op 25/1 and tchd 28/1,,
,,,,,,,,,,,,,,,,,,Commit Or Quit,,,,,,,,,30.0000,,,135.0,125.0,Hollie Doyle,Ian O'Connor,,,Green Tune (USA),Champagne Aerial (IRE),Event Of The Year,op 25/1 tchd 18/1,,
,,,,,,,,,,,,,,,,,,Conchita,,,,,,,,,30.2500,,,147.0,126.0,Ian Power,Ian Williams,,,Gregorian (IRE),Charismas Birthday (IRE),Exceed And Excel,op 25/1 tchd 20/1,,
,,,,,,,,,,,,,,,,,,Constancio,,,,,,,,,30.5000,,,,127.0,Isabel Williams,Ivan Furtado,,,Gutaifan (IRE),Charliebob,Excellent Art,op 25/1 tchd 22/1,,
,,,,,,,,,,,,,,,,,,Cooder,,,,,,,,,31.0000,,,,128.0,J F Egan,J A Nash,,,Haatef (USA),Chase The Favorite (IRE),Executive Perk,op 25/1 tchd 28/1,,
,,,,,,,,,,,,,,,,,,Coolbane Boy,,,,,,,,,31.2500,,,,129.0,J J Slevin,J P Murtagh,,,Hallowed Crown (AUS),Cheeky Girl,Exit To Nowhere,op 25/1 tchd 33/1,,
,,,,,,,,,,,,,,,,,,Cooline Bluebell,,,,,,,,,31.5000,,,,130.0,Jack Garritty,J R Barry,,,Harbour Watch (IRE),Chicharito's Gem (IRE),Fair Mix,op 28/1,,
,,,,,,,,,,,,,,,,,,Coolongolook,,,,,,,,,31.7500,,,,132.0,Jack Quinlan,J R Jenkins,,,Harzand (IRE),Chincoteague (IRE),Falbrav,op 28/1 tchd 25/1,,
,,,,,,,,,,,,,,,,,,Cooper's Cross,,,,,,,,,32.0000,,,,133.0,Jack Tudor,J S Bolger,,,Havana Gold (IRE),Chitabe (IRE),Fantastic Light,op 28/1 tchd 40/1,,
,,,,,,,,,,,,,,,,,,Coosan Clover,,,,,,,,,32.2500,,,,134.0,Jack Wildman,Jack W Davison,,,Heeraat (IRE),Cin Cin (IRE),Fasliyev,op 3/1,,
,,,,,,,,,,,,,,,,,,Coral Blue,,,,,,,,,32.7500,,,,135.0,James Best,Jackie Stephen,,,Helmet (AUS),Clear Impression (IRE),Fast Company,op 3/1 tchd 10/3,,
,,,,,,,,,,,,,,,,,,Costalotmore,,,,,,,,,33.0000,,,,137.0,James Bowen,James Bennett,,,Holy Roman Emperor (IRE),Clifton Miss (IRE),Fastnet Rock,op 3/1 tchd 11/4 and tchd 7/2,,
,,,,,,,,,,,,,,,,,,Coul Kat,,,,,,,,,33.2500,,,,140.0,James Davies,James Fanshawe,,,Hot Streak (IRE),Clohass Lane,First Trump,op 3/1 tchd 4/1,,
,,,,,,,,,,,,,,,,,,Coulthard,,,,,,,,,33.7500,,,,141.0,James Doyle,James M Barrett,,,Hurricane Cat (USA),Clouds Rest,Flemensfirth,op 3/1 tchd 5/2 and tchd 16/5,,
,,,,,,,,,,,,,,,,,,Country Charm,,,,,,,,,34.0000,,,,142.0,James Sullivan,James Tate,,,Iffraaj,Codera (GER),Footstepsinthesand,op 3/1 tchd 9/4,,
,,,,,,,,,,,,,,,,,,Court Duty,,,,,,,,,34.2500,,,,144.0,Jamie Bargary,Jamie Snowden,,,Indian River (FR),Come The Dawn,Fraam,op 33/1,,
,,,,,,,,,,,,,,,,,,Covert Mission,,,,,,,,,34.7500,,,,146.0,Jamie Hamilton,Jane Chapple-Hyam,,,Intense Focus (USA),Compelled (IRE),Freedom Cry,op 33/1 tchd 22/1 and tchd 40/1,,
,,,,,,,,,,,,,,,,,,Crazy Love,,,,,,,,,35.2500,,,,147.0,Jane Elliott,Jarlath P Fahey,,,Invincible Spirit (IRE),Compton Mews,Frozen Power,op 33/1 tchd 25/1,,
,,,,,,,,,,,,,,,,,,Create Belief,,,,,,,,,36.2500,,,,148.0,Jason Hart,Jedd O'Keeffe,,,Ivawood (IRE),Contemplate,Fusaichi Pegasus,op 33/1 tchd 28/1,,
,,,,,,,,,,,,,,,,,,Creative Mojo,,,,,,,,,37.2500,,,,149.0,Jason Watson,Jennie Candlish,,,Jeremy (USA),Cool Tarifa (IRE),Galileo,op 33/1 tchd 40/1,,
,,,,,,,,,,,,,,,,,,Critique,,,,,,,,,37.7500,,,,153.0,Jeremiah McGrath,Jeremy Scott,,,Jimble (FR),Coosan Belle (IRE),Garde Royale,op 33/1 tchd 50/1,,
,,,,,,,,,,,,,,,,,,Crooks Peak,,,,,,,,,38.2500,,,,156.0,Joe Colliver,Jim Boyle,,,Josr Algarhoud (IRE),Count On Me (IRE),Generous,op 33/1 tchd 66/1,,
,,,,,,,,,,,,,,,,,,Cropley,,,,,,,,,39.0000,,,,157.0,Joe Doyle,John Berry,,,Jukebox Jury (IRE),Countess Of Milan (IRE),Giant's Causeway,op 33/1and tchd 40/1,,
,,,,,,,,,,,,,,,,,,Crossfirehurricane,,,,,,,,,39.5000,,,,160.0,Joe Fanning,John Bridger,,,Kadeed (IRE),Cracking Lass (IRE),Glacial Storm,op 4/1,,
,,,,,,,,,,,,,,,,,,Crossguns,,,,,,,,,40.0000,,,,,Jonathan Burke,John Butler,,,Kalanisi (IRE),Craighall,Goldmark,op 4/1 and tchd 9/2,,
,,,,,,,,,,,,,,,,,,Cruyff Turn,,,,,,,,,40.7500,,,,,Jonathon Bewley,John C McConnell,,,Kapgarde (FR),Crannaghbeg Lady (IRE),Good Thyne,op 4/1 tchd 10/3,,
,,,,,,,,,,,,,,,,,,Cuba Ruba,,,,,,,,,41.0000,,,,,Jonjo O'Neill Jr,John E Kiely,,,Kayf Tara,Crimson Bow (GER),Goofalik,op 4/1 tchd 5/1,,
,,,,,,,,,,,,,,,,,,Dakota Moirette,,,,,,,,,41.5000,,,,,Jordan Canavan,John Flint,,,Kendargent (FR),Crimson Fern (IRE),Grand Plaisir,op 4/1 tchd 7/2,,
,,,,,,,,,,,,,,,,,,Daliyah,,,,,,,,,41.7500,,,,,Josephine Gordon,John Gallagher,,,Kheleyf (USA),Crimson Shower,Grand Tresor,op 4/1 tchd 9/2,,
,,,,,,,,,,,,,,,,,,Dance Jupiter,,,,,,,,,42.5000,,,,,Joshua Bryan,John Holt,,,King's Best (USA),Crochet (IRE),Green Desert,op 4/6 tchd 8/11,,
,,,,,,,,,,,,,,,,,,Dancing Jo,,,,,,,,,42.7500,,,,,Joshua Moore,John J Walsh,,,King's Theatre (IRE),Cross Check (IRE),Gulch,op 4/9,,
,,,,,,,,,,,,,,,,,,Dancing Zebedee,,,,,,,,,43.0000,,,,,Kai Lenihan,John James Feane,,,Kingman,Cruel Sea (USA),Gunner B,op 40/1,,
,,,,,,,,,,,,,,,,,,Dandy Dan,,,,,,,,,43.5000,,,,,Kane Yeoman,John Joseph Hanlon,,,Kingsalsa (USA),Cry Freedom (IRE),Haafhd,op 40/1 tchd 33/1,,
,,,,,,,,,,,,,,,,,,Dapper Daisy,,,,,,,,,44.2500,,,,,Keith Donoghue,John M Oxx,,,Kingsbarns (IRE),Ctesiphon (USA),Halling,op 40/1 tchd 50/1,,
,,,,,,,,,,,,,,,,,,Dargiannini,,,,,,,,,44.7500,,,,,Kevin Brogan,John O'Shea,,,Kingston Hill,Cuteasafox (IRE),Hamas,op 40/1 tchd 66/1,,
,,,,,,,,,,,,,,,,,,Darkest,,,,,,,,,45.2500,,,,,Kevin Manning,John Patrick Ryan,,,Kirkwall,Cyrienne Du Maine (FR),Hawk Wing,op 40/1 tchd 80/1,,
,,,,,,,,,,,,,,,,,,Darkest Dream,,,,,,,,,45.5000,,,,,Kevin Sexton,John Quinn,,,Kodi Bear (IRE),Dahlia's Krissy (USA),Heliostatic,op 5/1,,
,,,,,,,,,,,,,,,,,,Darling Maltaix,,,,,,,,,45.7500,,,,,Kevin Stott,John Wainwright,,,Kodiac,Daintily Done,Hernando,op 5/1 tchd 13/2,,
,,,,,,,,,,,,,,,,,,Das Kapital,,,,,,,,,47.2500,,,,,Kielan Woods,Johnny Farrelly,,,Kyllachy,Dalaway (IRE),Heron Island,op 5/1 tchd 16/5,,
,,,,,,,,,,,,,,,,,,Dawn Over Owning,,,,,,,,,47.7500,,,,,Kieran O'Neill,Jonathan Portman,,,Lawman (FR),Dame Blanche (IRE),High Chaparral,op 5/1 tchd 4/1,,
,,,,,,,,,,,,,,,,,,Daybreak Boy,,,,,,,,,49.5000,,,,,Kieran Shoemark,Jonjo O'Neill,,,Le Havre (IRE),Damson (IRE),High Estate,op 5/2,,
,,,,,,,,,,,,,,,,,,Dazzling Spirit,,,,,,,,,49.7500,,,,,Lee Edwards,Joseph Parr,,,Leading Light (IRE),Dan Loose Daughter,Highest Honor,op 5/2 tchd 10/3,,
,,,,,,,,,,,,,,,,,,Debras Boy,,,,,,,,,51.2500,,,,,Leigh Roche,Joseph Patrick O'Brien,,,Lethal Force (IRE),Danaskaya (IRE),Holy Roman Emperor,op 5/2 tchd 16/5,,
,,,,,,,,,,,,,,,,,,Debuchet,,,,,,,,,51.5000,,,,,Lewis Edmunds,Joseph Tuite,,,Librettist (USA),Dancer's Leap,Hubbly Bubbly,op 5/2 tchd 9/4,,
,,,,,,,,,,,,,,,,,,Defilade,,,,,,,,,52.2500,,,,,Lewis Stones,Julian Smith,,,Linda's Lad,Dancing Bird (IRE),Hurricane Run,op 5/4,,
,,,,,,,,,,,,,,,,,,Deftera Lad,,,,,,,,,52.7500,,,,,Liam Harrison,Julie Camacho,,,Lope De Vega (IRE),Dancing Storm,Iffraaj,op 50/1,,
,,,,,,,,,,,,,,,,,,Defuture Is Bright,,,,,,,,,53.7500,,,,,Liam Keniry,K J Condon,,,Lord Of England (GER),Dancingonthemoon (IRE),Indesatchel,op 50/1 tchd 125/1,,
,,,,,,,,,,,,,,,,,,Democratic Oath,,,,,,,,,54.5000,,,,,Lilly Pinchin,Katy Price,,,Lord Shanakill (USA),Danse Slave (FR),Indian Ridge,op 50/1 tchd 40/1 and tchd 80/1,,
,,,,,,,,,,,,,,,,,,Demon D'Aunou,,,,,,,,,55.7500,,,,,Lorcan Williams,Keith Dalgleish,,,Lucarno (USA),Daramour (FR),Insan,op 6/1,,
,,,,,,,,,,,,,,,,,,Desert Mist,,,,,,,,,56.7500,,,,,Luke McAteer,Kenny Johnson,,,Mahler,Darn Hot,Intense Focus,op 6/1 and tchd 7/1,,
,,,,,,,,,,,,,,,,,,Devious Dreamer,,,,,,,,,57.0000,,,,,Luke Morris,Kevin Frost,,,Make Believe,Darsan (IRE),Intikhab,op 6/1 tchd 11/2,,
,,,,,,,,,,,,,,,,,,Dha Leath,,,,,,,,,59.5000,,,,,Marco Ghiani,Kevin Prendergast,,,Makfi,Dayrose,Invasor,op 6/1 tchd 11/2 and tchd 17/2,,
,,,,,,,,,,,,,,,,,,Diamond Haze,,,,,,,,,59.7500,,,,,Mark Enright,Kieran P Cotter,,,Malinas (GER),Dazzling Light (UAE),Invincible Spirit,op 6/1 tchd 11/2 and tchd 7/1,,
,,,,,,,,,,,,,,,,,,Diego Du Charmil,,,,,,,,,60.0000,,,,,Mark Gallagher,Kieran Purcell,,,Mamool (IRE),Dear Dream (IRE),Ivan Denisovich,op 6/1 tchd 13/2,,
,,,,,,,,,,,,,,,,,,Disco Boots,,,,,,,,,61.5000,,,,,Mark Grant,Kim Bailey,,,Manduro (GER),Deep Gold (IRE),Jeremy,op 6/1 tchd 4/1,,
,,,,,,,,,,,,,,,,,,Doing Fine,,,,,,,,,61.7500,,,,,Mark Walsh,L J Archdeacon,,,Marcel (IRE),Definite Leader (IRE),Jimble,op 6/1 tchd 4/1 and tchd 13/2,,
,,,,,,,,,,,,,,,,,,Dollar Bid,,,,,,,,,66.5000,,,,,Martin Dwyer,L J Morgan,,,Maresca Sorrento (FR),Deise Rose (IRE),Johannesburg,op 6/1 tchd 5/1,,
,,,,,,,,,,,,,,,,,,Don't Joke,,,,,,,,,69.0000,,,,,Matt Griffiths,Lady Susan Brooke,,,Markaz (IRE),Derravaragh Sayra (IRE),Jupiter Island,op 6/1 tchd 8/1,,
,,,,,,,,,,,,,,,,,,Dors Toyboy,,,,,,,,,73.0000,,,,,Max Kendrick,Laura Horsfall,,,Martaline,Desert Treat (IRE),Kahyasi,op 6/1 tchd 9/2,,
,,,,,,,,,,,,,,,,,,Dr Sanderson,,,,,,,,,77.7500,,,,,Megan Nicholls,Lawney Hill,,,Mastercraftsman (IRE),Dessert Flower (IRE),Kalanisi,op 6/4,,
