track,country,time,race_name,race_class,handicap_rating,age_class,distance_mls,distance,going,prize,total_runners,winning_time,winning_timevar,total_sp,position,row_index,draw,horse_name,horse_country,price_decimal,price_fraction,price_symbol,horse_age,birth_year,horse_weight,dist_upper,dist_beaten,racecard_number,horse_or,horse_ts,horse_rpr,horse_jockey,horse_trainer,color,sex,sire,dam,damsire,price_var,headgear,wind_12
,,,,,,,,,,,,,,,,,,Drakey Boy,,,,,,,,,80.7500,,,,,Michael Hussey,Lawrence Mullaney,,,Masterstroke (USA),Dewpoint (IRE),Kaldounevees,op 6/4 tchd 11/8 and tchd 7/4,,
,,,,,,,,,,,,,,,,,,Dream Baie,,,,,,,,,82.0000,,,,,Michael Pitt,Leonard Paul Flynn,,,Maxios,Deyaar (USA),Kapgarde,op 6/4 tchd 7/4,,
,,,,,,,,,,,,,,,,,,Dream House,,,,,,,,,82.2500,,,,,Micheal Nolan,Liam G O'Brien,,,Mayson,Diamond Sky (IRE),Karinga Bay,op 66/1,,
,,,,,,,,,,,,,,,,,,Dreams Delivered,,,,,,,,,85.0000,,,,,Mike O'Connor,Linda Jewell,,,Mazameer (IRE),Dianeme,Kayf Tara,op 66/1 tchd 100/1,,
,,,,,,,,,,,,,,,,,,Driving Force,,,,,,,,,85.5000,,,,,Mikey Sheehy,Lisa Williamson,,,Medicean,Dicera (IRE),Keltos,op 66/1 tchd 125/1,,
,,,,,,,,,,,,,,,,,,Drombeg Duke,,,,,,,,,86.0000,,,,,Miss Abbie McCain,Luke McJannet,,,Mehmas (IRE),Diksie Dancer,Key Of Luck,op 66/1 tchd 40/1,,
,,,,,,,,,,,,,,,,,,Dubai Elegance,,,,,,,,,88.0000,,,,,Miss Charlotte Tudor,M A Cahill,,,Midnight Legend,Dilli Dancer,King Charlemagne,op 66/1 tchd 50/1,,
,,,,,,,,,,,,,,,,,,Duc De Grissay,,,,,,,,,90.0000,,,,,Miss Ellie Vaughan,M C Grassick,,,Milan,Disco Ball,King's Best,op 66/1 tchd 80/1,,
,,,,,,,,,,,,,,,,,,Duke Of Firenze,,,,,,,,,92.7500,,,,,Miss Jessica Llewellyn,M D O'Callaghan,,,Millenary,Divas Dream (IRE),King's Ride,op 7/1,,
,,,,,,,,,,,,,,,,,,Dunum,,,,,,,,,93.7500,,,,,Miss Joanna Mason,M F Morris,,,Mister Sacha (FR),Dollar's Worth (IRE),King's Theatre,op 7/1 and tchd 15/2,,
,,,,,,,,,,,,,,,,,,Dutch Canyon,,,,,,,,,94.7500,,,,,Miss Jodie Hughes,M Halford,,,Misu Bond (IRE),Dombeya (IRE),Kingmambo,op 7/1 tchd 10/1,,
,,,,,,,,,,,,,,,,,,Dylans Delight,,,,,,,,,96.5000,,,,,Miss Lorna Brooke,Malcolm Saunders,,,Morozov (USA),Don't Be,Kingsinger,op 7/1 tchd 13/2 and tchd 8/1,,
,,,,,,,,,,,,,,,,,,Dynamo Walt,,,,,,,,,103.7500,,,,,Miss Megan Trainor,Marco Botti,,,Morpheus,Dooleys Daughter (IRE),Kodiac,op 7/1 tchd 15/2,,
,,,,,,,,,,,,,,,,,,Eagle Ridge,,,,,,,,,107.7500,,,,,Miss Megan Wingrove,Marcus Tregoning,,,Most Improved (IRE),Dorothy B (IRE),Kris Kin,op 7/1 tchd 17/2,,
,,,,,,,,,,,,,,,,,,Eastern Voice,,,,,,,,,118.7500,,,,,Miss Michelle Bryant,Mark Hoad,,,Motivator,Doubly Guest,Kris S,op 7/1 tchd 6/1,,
,,,,,,,,,,,,,,,,,,Ebony Maw,,,,,,,,,131.7500,,,,,Mr Alex Chadwick,Mark Johnston,,,Mount Nelson,Doubt (IRE),Kyllachy,op 7/2,,
,,,,,,,,,,,,,,,,,,Ecco,,,,,,,,,152.7500,,,,,Mr D Allen,Mark Loughnane,,,Mountain High (IRE),Dream Role,Lavirco,op 7/2 and tchd 18/5,,
,,,,,,,,,,,,,,,,,,Ecliptical,,,,,,,,,178.7500,,,,,Mr D Kiely,Mark Michael McNiff,,,Muhaarar,Drombeg Dawn (IRE),Lawman,op 7/2 tchd 10/3,,
,,,,,,,,,,,,,,,,,,Ector,,,,,,,,,,,,,,Mr D T Hyde,Mark Rimell,,,Muhtathir,Drops (IRE),Leroidesanimaux,op 7/2 tchd 3/1,,
,,,,,,,,,,,,,,,,,,Eight And Bob,,,,,,,,,,,,,,Mr Finian Maguire,Mark Usher,,,Mukhadram,Drumcliffe Dancer (IRE),Liboi,op 7/2 tchd 4/1,,
,,,,,,,,,,,,,,,,,,Elan De Balme,,,,,,,,,,,,,,Mr Henry Main,Martin Keighley,,,Mustajeeb,Dubai Sunrise (USA),Linamix,op 7/4 tchd 9/4,,
,,,,,,,,,,,,,,,,,,Elanora,,,,,,,,,,,,,,Mr Jack Savage,Martin Paul Fitzgerald,,,Nathaniel (IRE),Dushlan (IRE),Lion Heart,op 8/1,,
,,,,,,,,,,,,,,,,,,Elfin Queen,,,,,,,,,,,,,,Mr Matthew Ennis,Martin Todhunter,,,New Approach (IRE),Dustys Delight (IRE),Lomond,op 8/1 and tchd 17/2,,
,,,,,,,,,,,,,,,,,,Elite Trooper Grey,,,,,,,,,,,,,,Mr Matthew Johnson,Martyn Meade,,,New Bay,Dutch Gal,Lord Of Appeal,op 8/1 tchd 11/1,,
,,,,,,,,,,,,,,,,,,Elizabethan,,,,,,,,,,,,,,Mr N McParlan,Matthew J Smith,,,No Nay Never (USA),Early Evening,Loup Sauvage,op 8/1 tchd 11/2,,
,,,,,,,,,,,,,,,,,,Ellabella,,,,,,,,,,,,,,Mr Patrick Millman,Maurice Barnes,,,No Risk At All (FR),Easter Duties (IRE),Loup Solitaire,op 8/1 tchd 12/1,,
,,,,,,,,,,,,,,,,,,Elysees,,,,,,,,,,,,,,Mr Philip Thomas,Michael Appleby,,,Noble Mission,Easter Saturday (IRE),Lujain,op 8/1 tchd 13/2,,
,,,,,,,,,,,,,,,,,,Emily Webb,,,,,,,,,,,,,,Mr Ross Birkett,Michael Blake,,,Noroit (GER),Ecoutila (USA),Luso,op 8/1 tchd 13/2 and tchd 17/2,,
,,,,,,,,,,,,,,,,,,Emitom,,,,,,,,,,,,,,Mr Simon Walker,Michael Dods,,,Oasis Dream,El Morocco (USA),Lute Antique,op 8/1 tchd 15/2,,
,,,,,,,,,,,,,,,,,,Enfin Phil,,,,,,,,,,,,,,Mr T Feeney,Michael Easterby,,,Ocovango,Emblaze,Machiavellian,op 8/1 tchd 15/2 and tchd 10/1,,
,,,,,,,,,,,,,,,,,,Ennistymon,,,,,,,,,,,,,,Mr T Power Roche,Michael G Kennedy,,,Olympic Glory (IRE),Eminence Gift,Major Cadeaux,op 8/1 tchd 5/1,,
,,,,,,,,,,,,,,,,,,Enrichissant,,,,,,,,,,,,,,Mr Tommie M O'Brien,Michael Hawker,,,On Est Bien (IRE),Enchanted Empress (IRE),Makfi,op 8/1 tchd 6/1 and tchd 10/1,,
,,,,,,,,,,,,,,,,,,Enzo,,,,,,,,,,,,,,N G McCullagh,Michael Herrington,,,Oscar (IRE),Endino (IRE),Manduro,op 8/1 tchd 6/1 and tchd 17/2,,
,,,,,,,,,,,,,,,,,,Epic Endeavour,,,,,,,,,,,,,,Nathan Brennan,Michael Hourigan,,,Outstrip,Enjoy The Life,Mansonnien,op 8/13 tchd 4/9,,
,,,,,,,,,,,,,,,,,,Equality,,,,,,,,,,,,,,Nathan Crosse,Michael J Bowe,,,Paco Boy (IRE),Epistoliere (IRE),Marchand De Sable,op 8/15 tchd 4/9,,
,,,,,,,,,,,,,,,,,,Eragon De Chanay,,,,,,,,,,,,,,Nick Barratt-Atkin,Michael Mullineaux,,,Papal Bull,Eritrea,Marju,op 80/1,,
,,,,,,,,,,,,,,,,,,Espresso Freddo,,,,,,,,,,,,,,Nick Scholfield,Michael Mulvany,,,Parish Hall (IRE),Eva's Edge (IRE),Mark Of Esteem,op 80/1 tchd 100/1,,
,,,,,,,,,,,,,,,,,,Estelle Ma Belle,,,,,,,,,,,,,,Nico de Boinville,Michael Roberts,,,Passing Glance,Eva's Time (IRE),Martaline,op 80/1 tchd 125/1,,
,,,,,,,,,,,,,,,,,,Etneya,,,,,,,,,,,,,,Nicola Currie,Michael Scudamore,,,Pasternak,Evane (FR),Mastercraftsman,op 80/1 tchd 150/1,,
,,,,,,,,,,,,,,,,,,Evander,,,,,,,,,,,,,,Nikita Kane,Mick Channon,,,Pastoral Pursuits,Evanesce,Medecis,op 80/1 tchd 66/1,,
,,,,,,,,,,,,,,,,,,Even Flow,,,,,,,,,,,,,,Oisin Murphy,Micky Hammond,,,Pastorius (GER),Even Flo,Medicean,op 85/40,,
,,,,,,,,,,,,,,,,,,Evening Primrose,,,,,,,,,,,,,,Oisin Orr,Mike Murphy,,,Pearl Secret,Evening Time (IRE),Milan,op 9/1,,
,,,,,,,,,,,,,,,,,,Exchequer,,,,,,,,,,,,,,Oliver Timms,Milton Bradley,,,Peintre Celebre (USA),Excuse Me (USA),Millenary,op 9/1 tchd 12/1,,
,,,,,,,,,,,,,,,,,,Exotic Escape,,,,,,,,,,,,,,P B Beggy,Milton Harris,,,Phoenix Reach (IRE),Exit To Bullaun (IRE),Mind Games,op 9/1 tchd 14/1,,
,,,,,,,,,,,,,,,,,,Extensio,,,,,,,,,,,,,,P J McDonald,Miss Elizabeth Doyle,,,Piccolo,Expedience (USA),Mister Lord,op 9/1 tchd 15/2,,
,,,,,,,,,,,,,,,,,,Fair Game,,,,,,,,,,,,,,Paddy Brennan,Miss Ellmarie Holden,,,Pivotal,Eytarna (IRE),Miswaki,op 9/1 tchd 17/2,,
,,,,,,,,,,,,,,,,,,Fair Man,,,,,,,,,,,,,,Paddy Harnett,Miss Hilary McLoughlin,,,Planteur (IRE),Fair Dubawi (IRE),Mizzen Mast,op 9/1 tchd 17/2 and tchd 10/1,,
,,,,,,,,,,,,,,,,,,Faire Croire,,,,,,,,,,,,,,Paddy Kennedy,Miss J M Lee,,,Poet's Voice,Faleena (IRE),Monsun,op 9/1 tchd 20/1,,
,,,,,,,,,,,,,,,,,,Fairway Freddy,,,,,,,,,,,,,,Page Fuller,Mohamed Moubarak,,,Pour Moi (IRE),Famous (IRE),Montelimar,op 9/1 tchd 7/1,,
,,,,,,,,,,,,,,,,,,Family Business,,,,,,,,,,,,,,Pat Cosgrave,Mrs D A Love,,,Power,Fanditha (IRE),Montjeu,op 9/1 tchd 7/1 and tchd 10/1,,
,,,,,,,,,,,,,,,,,,Fannie By Gaslight,,,,,,,,,,,,,,Paul Hanagan,Mrs Denise Foster,,,Presenting,Fantacise,Moscow Society,op 9/1 tchd 8/1,,
,,,,,,,,,,,,,,,,,,Farsideofthemoon,,,,,,,,,,,,,,Paul Mulrennan,Mrs John Harrington,,,Pride Of Dubai (AUS),Fashionable Gal (IRE),Most Welcome,op 9/1 tchd 8/1 and tchd 11/1,,
,,,,,,,,,,,,,,,,,,Fashion Free,,,,,,,,,,,,,,Paul O'Brien,Mrs Lorna Fowler,,,Primary (USA),Faussement Simple (IRE),Mr Greeley,op 9/2,,
,,,,,,,,,,,,,,,,,,Faustus,,,,,,,,,,,,,,Paul Townend,Ms Alice Curran,,,Prince Of Lir (IRE),Favorite (GER),Mtoto,op 9/2 tchd 10/3,,
,,,,,,,,,,,,,,,,,,Fest Deiz,,,,,,,,,,,,,,Phil Dennis,Ms M Dowdall Blake,,,Proclamation (IRE),Featherlight,Muhtarram,op 9/2 tchd 11/1,,
,,,,,,,,,,,,,,,,,,Fiddlerontheroof,,,,,,,,,,,,,,Philip Armson,Ms Margaret Mullins,,,Racinger (FR),Fey,Muhtathir,op 9/2 tchd 11/2,,
,,,,,,,,,,,,,,,,,,Fidelio Vallis,,,,,,,,,,,,,,Philip Prince,Ms Sheila Lavery,,,Rainwatch,Field Of Hope (IRE),Mujahid,op 9/2 tchd 3/1,,
,,,,,,,,,,,,,,,,,,Finding Joy,,,,,,,,,,,,,,Phillip Enright,Murty McGrath,,,Rajj (IRE),Fields Of May (IRE),Namaqualand,op 9/2 tchd 5/1,,
,,,,,,,,,,,,,,,,,,Fine By Her,,,,,,,,,,,,,,Pierre-Louis Jamin,N W Alexander,,,Raven's Pass (USA),Filatelia (IRE),Namid,op 9/2 tchd 7/2,,
,,,,,,,,,,,,,,,,,,Fine Distraction,,,,,,,,,,,,,,Rachael Blackmore,Neil King,,,Red Jazz (USA),Fillthegobletagain (IRE),Nashwan,op 9/4,,
,,,,,,,,,,,,,,,,,,Fintown Boy,,,,,,,,,,,,,,Rachel Richardson,Neil Mulholland,,,Refuse To Bend (IRE),Fire Lily (IRE),Nayef,op 9/4 tchd 11/4,,
,,,,,,,,,,,,,,,,,,Firenze Rosa,,,,,,,,,,,,,,Ray Dawson,Neill McCluskey,,,Robin Des Champs (FR),Firebelly,Neshad,op 9/4 tchd 2/1,,
,,,,,,,,,,,,,,,,,,Firestick,,,,,,,,,,,,,,Rex Dingle,Nick Gifford,,,Rock Of Gibraltar (IRE),Fixed Gaze (USA),New Approach,op 9/4 tchd 3/1,,
,,,,,,,,,,,,,,,,,,Flexible Approach,,,,,,,,,,,,,,Rhys Clutterbuck,Nick Kent,,,Roderic O'Connor (IRE),Fluttering Rose,Nicolotte,tchd 10/1,,
,,,,,,,,,,,,,,,,,,Flight Command,,,,,,,,,,,,,,Richard Condon,Nick Littmoden,,,Royal Applause,Follow The Faith,Night Shift,tchd 10/11,,
,,,,,,,,,,,,,,,,,,Flip Mode,,,,,,,,,,,,,,Richard Johnson,Nicky Henderson,,,Rule Of Law (USA),Folly Bridge,Nomadic Way,tchd 10/3,,
,,,,,,,,,,,,,,,,,,Flora's Aura,,,,,,,,,,,,,,Richard Kingscote,Nicky Richards,,,Saint Des Saints (FR),Forever Present (IRE),Nononito,tchd 100/1,,
,,,,,,,,,,,,,,,,,,Floy Joy,,,,,,,,,,,,,,Richard Patrick,Nigel Hawke,,,Sans Frontieres (IRE),Forsters Plantin,Northern Baby,tchd 11/1,,
,,,,,,,,,,,,,,,,,,Flutiste,,,,,,,,,,,,,,Richie McLernon,Nigel Thomas Slevin,,,Saonois (FR),Fresh Mint (IRE),Northern Park,tchd 11/2,,
,,,,,,,,,,,,,,,,,,For Pleasure,,,,,,,,,,,,,,Rob Hornby,Nigel Twiston-Davies,,,Schiaparelli (GER),Funny Times,Noverre,tchd 11/4,,
,,,,,,,,,,,,,,,,,,Forbidden Secret,,,,,,,,,,,,,,Robbie Colgan,Noel Meade,,,Scorpion (IRE),Furasta (USA),Numerous,tchd 11/8,,
,,,,,,,,,,,,,,,,,,Foxy Jacks,,,,,,,,,,,,,,Robbie Downey,Noel Williams,,,Sea The Stars (IRE),Gaditana,Oasis Dream,tchd 12/1 and 16/1,,
,,,,,,,,,,,,,,,,,,Fresno Emery,,,,,,,,,,,,,,Robbie Power,Oliver Greenall,,,Secret Singer (FR),Gail Borden (IRE),Observatory,tchd 13/2,,
,,,,,,,,,,,,,,,,,,Friary Rock,,,,,,,,,,,,,,Robert Dunne,Oliver Sherwood,,,Sepoy (AUS),Galeaza,Old Vic,tchd 13/8,,
,,,,,,,,,,,,,,,,,,Frow,,,,,,,,,,,,,,Ronan Whelan,Ollie Pears,,,Shamardal (USA),Galianna (IRE),One Cool Cat,tchd 13/8 and tchd 15/8,,
,,,,,,,,,,,,,,,,,,Fulbeck Girl,,,,,,,,,,,,,,Rory Cleary,Olly Murphy,,,Shantou (USA),Gambatte,Oratorio,tchd 14/1,,
,,,,,,,,,,,,,,,,,,Fun Mac,,,,,,,,,,,,,,Ross Chapman,P A Fahy,,,Shirocco (GER),Garraun (IRE),Orientate,tchd 14/1 and 18/1,,
,,,,,,,,,,,,,,,,,,Furia D'Oudairies,,,,,,,,,,,,,,Ross Coakley,P F O'Donnell,,,Sholokhov (IRE),Gateway (USA),Orpen,tchd 15/2,,
,,,,,,,,,,,,,,,,,,Gaelic Force,,,,,,,,,,,,,,Rossa Ryan,P J F Murphy,,,Showcasing,Gaye Steel (IRE),Oscar,tchd 16/1,,
,,,,,,,,,,,,,,,,,,Gandy Man,,,,,,,,,,,,,,Rowan Scott,P J Rothwell,,,Silver Frost (IRE),Generously Gifted,Overbury,tchd 17/2,,
,,,,,,,,,,,,,,,,,,Gangster,,,,,,,,,,,,,,Ryan Day,P Twomey,,,Sir Percy,Gerika (FR),Pasternak,tchd 17/2 and 10/1,,
,,,,,,,,,,,,,,,,,,Gateway To Europe,,,,,,,,,,,,,,Ryan Mania,Paddy Butler,,,Sir Prancealot (IRE),Get The Ring (FR),Peintre Celebre,tchd 18/1,,
,,,,,,,,,,,,,,,,,,General Clermont,,,,,,,,,,,,,,Ryan Tate,Padraig Roche,,,Sixties Icon,Ghost Of A Girl (IRE),Perfect Soul,tchd 20/1,,
,,,,,,,,,,,,,,,,,,George Of Hearts,,,,,,,,,,,,,,Ryan Treacy,Patrick Eugene Turley,,,Siyouni (FR),Gilt Benefit (IRE),Phantom Breeze,tchd 200/1,,
,,,,,,,,,,,,,,,,,,Get An Oscar,,,,,,,,,,,,,,Saffie Osborne,Patrick J Flynn,,,Slade Power (IRE),Gilwen Glory (IRE),Phardante,tchd 22/1,,
,,,,,,,,,,,,,,,,,,Get Boosting,,,,,,,,,,,,,,Sam Coltherd,Patrick Martin,,,Smadoun (FR),Girl Of The Hour,Piccolo,tchd 25/1,,
,,,,,,,,,,,,,,,,,,Get Rich Die Plyin,,,,,,,,,,,,,,Sam Ewing,Patrick Tallis,,,So You Think (NZ),Gisela (IRE),Pips Pride,tchd 28/1,,
,,,,,,,,,,,,,,,,,,Getastar,,,,,,,,,,,,,,Sam Twiston-Davies,Paul Henderson,,,Society Rock (IRE),Gold Blended (IRE),Pistolet Bleu,tchd 3/1,,
,,,,,,,,,,,,,,,,,,Getaway Plan,,,,,,,,,,,,,,Seamie Heffernan,Paul Midgley,,,Soldier Hollow,Gold Focus (IRE),Pivotal,tchd 33/1,,
,,,,,,,,,,,,,,,,,,Getaweapon,,,,,,,,,,,,,,Sean Bowen,Paul Nicholls,,,Spanish Moon (USA),Good Lady (IRE),Polish Precedent,tchd 33/1 and tchd 50/1,,
,,,,,,,,,,,,,,,,,,Gilwen Reacher,,,,,,,,,,,,,,Sean Flanagan,Paul Nolan,,,Speedmaster (GER),Good Morning Lady,Presenting,tchd 4/1,,
,,,,,,,,,,,,,,,,,,Gimme A Wink,,,,,,,,,,,,,,Sean Houlihan,Paul O'Flynn,,,Spring At Last (USA),Goodie Twosues,Primitive Rising,tchd 4/1 and tchd 5/1,,
,,,,,,,,,,,,,,,,,,Gin Coco,,,,,,,,,,,,,,Sean Levey,Paul W Flynn,,,Starspangledbanner (AUS),Grand Minstrel (IRE),Primo Dominie,tchd 4/11 and tchd 1/2,,
,,,,,,,,,,,,,,,,,,Ginger Max,,,,,,,,,,,,,,Sean Quinlan,Pauline Robson,,,Stowaway,Great Decision (IRE),Prince Sabo,tchd 40/1,,
,,,,,,,,,,,,,,,,,,Glenamoy Lad,,,,,,,,,,,,,,Shane Crosse,Peter Bowen,,,Street Sense (USA),Greatest Dancer (IRE),Priolo,tchd 5/1,,
,,,,,,,,,,,,,,,,,,Glint In Her Eye,,,,,,,,,,,,,,Shane Foley,Peter Fahey,,,Subtle Power (IRE),Greenisland (IRE),Proud Citizen,tchd 5/1 and 6/1,,
,,,,,,,,,,,,,,,,,,Global Esteem,,,,,,,,,,,,,,Shane Gray,Peter Niven,,,Sulamani (IRE),Guydus (IRE),Pursuit Of Love,tchd 5/1 and tchd 6/1,,
,,,,,,,,,,,,,,,,,,Global Style,,,,,,,,,,,,,,Silvestre De Sousa,Philip Hobbs,,,Swiss Spirit,Habaayib,Ragmar,tchd 5/2,,
,,,,,,,,,,,,,,,,,,Global Wonder,,,,,,,,,,,,,,Simon Torrens,Philip Kirby,,,Tagula (IRE),Hannah Jacques (IRE),Rahy,tchd 5/2 and tchd 3/1,,
,,,,,,,,,,,,,,,,,,Globe Theatre,,,,,,,,,,,,,,Stan Sheppard,Philip M Byrne,,,Tamayuz,Hanzada (USA),Rail Link,tchd 5/4,,
,,,,,,,,,,,,,,,,,,Glorious Dane,,,,,,,,,,,,,,Stefano Cherchi,Philip McBride,,,Teofilo (IRE),Happy Talk (IRE),Rainbow Quest,tchd 5/4 and tchd 6/4,,
,,,,,,,,,,,,,,,,,,Gloweth,,,,,,,,,,,,,,Stephen Mulqueen,Phillip Makin,,,Territories (IRE),Hartwell Lake (IRE),Rakaposhi King,tchd 50/1,,
,,,,,,,,,,,,,,,,,,Gold Allure,,,,,,,,,,,,,,Stevie Donohoe,R P O'Keeffe,,,The Gurkha (IRE),Haven's Wave (IRE),Rakti,tchd 6/1,,
,,,,,,,,,,,,,,,,,,Gold Desert,,,,,,,,,,,,,,Tabitha Worsley,R P Rath,,,Thewayyouare (USA),Hazel Mist (IRE),Rambo Dancer,tchd 6/1 and tchd 7/1,,
,,,,,,,,,,,,,,,,,,Gold Souk,,,,,,,,,,,,,,Theo Gillard,Rae Guest,,,Tiger Groom,Healing Music (FR),Rashar,tchd 6/4,,
,,,,,,,,,,,,,,,,,,Golden Emblem,,,,,,,,,,,,,,Thomas Dowson,Ralph Beckett,,,Tobougg (IRE),Herrera (IRE),Raven's Pass,tchd 6/5,,
,,,,,,,,,,,,,,,,,,Golden Lyric,,,,,,,,,,,,,,Thomas Willmott,Rebecca Menzies,,,Toronado (IRE),Hidden Reserve (IRE),Red Clubs,tchd 66/1,,
,,,,,,,,,,,,,,,,,,Golden Treat,,,,,,,,,,,,,,Tom Bellamy,Richard Fahey,,,Tough As Nails (IRE),High Benefit (IRE),Red Ransom,tchd 66/1 and tchd 100/1,,
,,,,,,,,,,,,,,,,,,Good Impression,,,,,,,,,,,,,,Tom Buckley,Richard Guest,,,Trans Island,Hollybell,Redback,tchd 7/1,,
,,,,,,,,,,,,,,,,,,Good Listener,,,,,,,,,,,,,,Tom Cannon,Richard Hannon,,,Turgeon (USA),Honorlina (FR),Refuse To Bend,tchd 7/1 and 8/1,,
,,,,,,,,,,,,,,,,,,Gorham's Cave,,,,,,,,,,,,,,Tom Eaves,Richard Hawker,,,Twilight Son,How High The Sky (IRE),Reset,tchd 7/1 and tchd 8/1,,
,,,,,,,,,,,,,,,,,,Got Trumped,,,,,,,,,,,,,,Tom Madden,Richard Hughes,,,Urban Poet (USA),Howaya Pet (IRE),Rip Van Winkle,tchd 7/2,,
,,,,,,,,,,,,,,,,,,Gotthenod,,,,,,,,,,,,,,Tom Marquand,Richard Whitaker,,,Vadamos (FR),Hurricane Irene (IRE),River Falls,tchd 7/2 and tchd 5/1,,
,,,,,,,,,,,,,,,,,,Graineyhill,,,,,,,,,,,,,,Tom O'Brien,Robert Cowell,,,Vale Of York (IRE),Hurricane Lily (IRE),Roakarad,tchd 7/4,,
,,,,,,,,,,,,,,,,,,Granitic,,,,,,,,,,,,,,Tom Scudamore,Robert Stephens,,,Vision D'Etat (FR),Hypatia (IRE),Rock Of Gibraltar,tchd 8/1,,
,,,,,,,,,,,,,,,,,,Grey Fox,,,,,,,,,,,,,,Tommy Brett,Robert Walford,,,Vocalised (USA),I Am Beautiful (IRE),Roi Danzig,tchd 8/11,,
,,,,,,,,,,,,,,,,,,Guillemot,,,,,,,,,,,,,,Tony Hamilton,Robyn Brisland,,,Voix Du Nord (FR),I Hearyou Knocking (IRE),Roselier,tchd 80/1,,
,,,,,,,,,,,,,,,,,,Gustav,,,,,,,,,,,,,,Trevor Ryan,Rod Millman,,,War Command (USA),Iamnoangel (IRE),Royal Academy,tchd 9/1,,
,,,,,,,,,,,,,,,,,,Hab Sab,,,,,,,,,,,,,,Trevor Whelan,Roger Fell,,,War Front (USA),Ighraa (IRE),Royal Applause,tchd 9/1 and tchd 11/1,,
,,,,,,,,,,,,,,,,,,Halla Rince,,,,,,,,,,,,,,Tyler Heard,Roger Teal,,,Watar (IRE),Inagh River,Royal Charter,tchd 9/2,,
,,,,,,,,,,,,,,,,,,Halsafari,,,,,,,,,,,,,,Tyler Saunders,Ronald Harris,,,Westerner,Inca Hill (IRE),Royal Fountain,tchd 9/4,,
,,,,,,,,,,,,,,,,,,Hanbags N Gladrags,,,,,,,,,,,,,,Vanessa Maye,Ronan M P McNally,,,Windsor Knot (IRE),Indian Maiden (IRE),Rudimentary,,,
,,,,,,,,,,,,,,,,,,Hang Tough,,,,,,,,,,,,,,William Buick,Ross O'Sullivan,,,Wootton Bassett,Indigo River (IRE),Saddlers' Hall,,,
,,,,,,,,,,,,,,,,,,Happy Hollow,,,,,,,,,,,,,,William Carson,Ruth Carr,,,Xtension (IRE),Indy Gal (IRE),Sadler's Wells,,,
,,,,,,,,,,,,,,,,,,Havana River,,,,,,,,,,,,,,William Carver,Ryan Potter,,,Yeats (IRE),Inffiraaj (IRE),Sahm,,,
,,,,,,,,,,,,,,,,,,Haveuseentherain,,,,,,,,,,,,,,William Cox,S G Walsh,,,Zebedee,Inquisitive Look,Saint Cyrien,,,
,,,,,,,,,,,,,,,,,,Heer We Go Again,,,,,,,,,,,,,,William Kennedy,S M Duffy,,,Zerpour (IRE),Irish Question (IRE),Sakhee,,,
,,,,,,,,,,,,,,,,,,Helvic Princess,,,,,,,,,,,,,,William Pyle,Sabrina J Harty,,,Zoffany (IRE),Isarella (GER),Sakhee's Secret,,,
